Method,Threshold,Pool,LeadTimeMin,TP,FN,FP,TN,CSI,POD,FAR
Enhanced,160,4,55,68535,360349,87012,25104576,0.132847,0.159798,0.559394
Enhanced,160,4,60,63934,366548,83692,25106306,0.124343,0.148517,0.566919
Enhanced,160,16,5,49271,31472,1147,1519390,0.601673,0.610220,0.022750
Enhanced,160,16,10,40265,39449,1460,1520106,0.496033,0.505118,0.034991
Enhanced,160,16,15,35043,44102,2470,1519665,0.429370,0.442770,0.065844
Enhanced,160,16,20,30535,49310,2710,1518725,0.369875,0.382428,0.081516
Enhanced,160,16,25,26690,53109,2718,1518763,0.323449,0.334465,0.092424
Enhanced,160,16,30,22750,56493,3176,1518861,0.276029,0.287092,0.122503
Enhanced,160,16,35,19992,59221,2728,1519339,0.243980,0.252383,0.120070
Enhanced,160,16,40,15688,63099,4129,1518364,0.189204,0.199119,0.208356
Enhanced,160,16,45,10898,68297,6156,1515929,0.127685,0.137610,0.360971
Enhanced,160,16,50,7971,70625,6193,1516491,0.094010,0.101417,0.437235
Enhanced,160,16,55,6421,69224,5856,1519779,0.078784,0.084883,0.476989
Enhanced,160,16,60,5370,70354,5649,1519907,0.065992,0.070915,0.512660
Enhanced,181,1,5,3135323,1038201,67685,405686432,0.739252,0.751241,0.021132
Enhanced,181,1,10,2958418,883117,107818,405978336,0.749089,0.770114,0.035163
Enhanced,181,1,15,2718073,974244,267814,405967584,0.686359,0.736143,0.089693
Enhanced,181,1,20,2597735,1260199,273854,405795808,0.628719,0.673349,0.095367
Enhanced,181,1,25,2504701,1361743,126798,405934272,0.627235,0.647805,0.048185
Enhanced,181,1,30,2266728,1455867,240629,405964288,0.571940,0.608911,0.095969
Enhanced,181,1,35,2174748,1555908,209005,405987936,0.552014,0.582940,0.087679
Enhanced,181,1,40,1580654,1989472,586557,405770976,0.380268,0.442745,0.270651
Enhanced,181,1,45,1044898,2603992,896901,405381856,0.229861,0.286361,0.461892
Enhanced,181,1,50,959063,2441555,945525,405581536,0.220670,0.282026,0.496446
Enhanced,181,1,55,957329,1605068,924202,406440960,0.274574,0.373607,0.491197
Enhanced,181,1,60,956059,1621913,886271,406463584,0.275979,0.370857,0.481060
Enhanced,181,4,5,236346,110596,4623,25268910,0.672268,0.681226,0.019185
Enhanced,181,4,10,213732,113788,7102,25285848,0.638727,0.652577,0.032160
Enhanced,181,4,15,192715,125501,17949,25284300,0.573275,0.605611,0.085202
Enhanced,181,4,20,179735,148581,18456,25273706,0.518309,0.547445,0.093122
Enhanced,181,4,25,169316,159329,9404,25282422,0.500862,0.515194,0.052619
Enhanced,181,4,30,150923,168923,16420,25284208,0.448820,0.471861,0.098122
Enhanced,181,4,35,142970,177238,14265,25285994,0.427449,0.446491,0.090724
Enhanced,181,4,40,104989,206350,39102,25270032,0.299591,0.337218,0.271370
Enhanced,181,4,45,67290,249141,59792,25244256,0.178857,0.212653,0.470499
Enhanced,181,4,50,60911,239637,62414,25257528,0.167816,0.202666,0.506094
Enhanced,181,4,55,60824,187546,61022,25311090,0.196592,0.244893,0.500813
Enhanced,181,4,60,60701,188785,59141,25311844,0.196681,0.243304,0.493491
Enhanced,181,16,5,29491,19920,551,1551318,0.590269,0.596851,0.018341
Enhanced,181,16,10,23710,24736,627,1552207,0.483158,0.489411,0.025763
Enhanced,181,16,15,20256,27718,1377,1551929,0.410448,0.422229,0.063653
Enhanced,181,16,20,17394,31070,1361,1551455,0.349102,0.358906,0.072567
Enhanced,181,16,25,15086,33492,779,1551923,0.305651,0.310552,0.049102
Enhanced,181,16,30,12523,35453,1195,1552109,0.254683,0.261026,0.087112
Enhanced,181,16,35,11067,36858,1006,1552349,0.226176,0.230923,0.083326
Enhanced,181,16,40,8097,39495,2628,1551060,0.161231,0.170134,0.245035
Enhanced,181,16,45,4843,43113,4203,1549121,0.092851,0.100988,0.464625
Enhanced,181,16,50,4142,42753,4473,1549912,0.080634,0.088325,0.519211
Enhanced,181,16,55,4097,39618,4376,1553189,0.085193,0.093721,0.516464
Enhanced,181,16,60,4064,39692,4298,1553226,0.084572,0.092879,0.513992
Enhanced,219,1,5,1983564,1096184,1581,406846368,0.643737,0.644067,0.000796
Enhanced,219,1,10,1944086,790634,3152,407190048,0.710072,0.710890,0.001619
Enhanced,219,1,15,1906084,682851,7802,407331072,0.734030,0.736243,0.004077
Enhanced,219,1,20,1877620,868590,6900,407174496,0.682000,0.683713,0.003661
Enhanced,219,1,25,1856939,892749,5431,407172608,0.673996,0.675327,0.002916
Enhanced,219,1,30,1689449,915303,151768,407171424,0.612892,0.648603,0.082428
Enhanced,219,1,35,1651375,959019,150481,407166912,0.598135,0.632615,0.083514
Enhanced,219,1,40,1336291,1107288,412401,407071840,0.467892,0.546858,0.235834
Enhanced,219,1,45,1009100,1509455,576968,406832288,0.325987,0.400666,0.363773
Enhanced,219,1,50,936553,1331968,542888,407116160,0.333126,0.412847,0.366955
Enhanced,219,1,55,935926,486199,526301,407979392,0.480350,0.658118,0.359931
Enhanced,219,1,60,929776,506254,488758,408003008,0.483054,0.647463,0.344551
Enhanced,219,4,5,131884,82235,133,25406226,0.615556,0.615938,0.001007
Enhanced,219,4,10,127575,65651,265,25426984,0.659333,0.660237,0.002073
Enhanced,219,4,15,123878,60231,821,25435564,0.669864,0.672851,0.006584
Enhanced,219,4,20,121537,72440,810,25425708,0.623948,0.626554,0.006621
Enhanced,219,4,25,120397,73896,680,25425508,0.617506,0.619667,0.005616
Enhanced,219,4,30,110158,75115,9837,25425376,0.564594,0.594571,0.081978
Enhanced,219,4,35,107821,78229,9680,25424758,0.550866,0.579527,0.082382
Enhanced,219,4,40,87233,88843,27311,25417092,0.428902,0.495428,0.238432
Enhanced,219,4,45,64211,116170,40122,25399974,0.291202,0.355974,0.384557
Enhanced,219,4,50,59481,105230,36923,25418850,0.294995,0.361123,0.383003
Enhanced,219,4,55,59461,52865,35453,25472696,0.402364,0.529361,0.373528
Enhanced,219,4,60,58809,54569,32856,25474240,0.402157,0.518699,0.358436
Enhanced,219,16,5,10236,11591,21,1579432,0.468510,0.468960,0.002047
Enhanced,219,16,10,9242,11397,20,1580621,0.447360,0.447793,0.002159
Enhanced,219,16,15,8651,11409,120,1581100,0.428692,0.431256,0.013681
Enhanced,219,16,20,8310,12411,125,1580434,0.398638,0.401042,0.014819
Enhanced,219,16,25,8202,12498,111,1580469,0.394118,0.396232,0.013353
Enhanced,219,16,30,7558,12631,677,1580414,0.362216,0.374362,0.082210
Enhanced,219,16,35,7485,12930,666,1580199,0.355059,0.366642,0.081708
Enhanced,219,16,40,6061,13759,1949,1579511,0.278423,0.305802,0.243321
Enhanced,219,16,45,4289,15762,3317,1577912,0.183542,0.213905,0.436103
Enhanced,219,16,50,3889,15292,2974,1579125,0.175536,0.202753,0.433338
Enhanced,219,16,55,3887,12105,2822,1582466,0.206601,0.243059,0.420629
Enhanced,219,16,60,3883,12170,2664,1582563,0.207458,0.241886,0.406904
